,village_name,district_name,population
654,Hodejovec,Rimavská Sobota,178
655,Hodkovce,Košice-okolie,325
656,Hodkovce,Spišská Nová Ves,325
657,Hokovce,Levice,488
658,Holčíkovce,Vranov nad Topľou,415
659,Holiare,Komárno,483
660,Holice,Dunajská Streda,2088
661,Holíč,Skalica,11156
662,Holiša,Lučenec,660
663,Holumnica,Kežmarok,887
664,Honce,Rožňava,351
665,Hontianska Vrbica,Levice,603
666,Hontianske Moravce,Krupina,844
667,Hontianske Nemce,Krupina,1443
668,Hontianske Tesáre,Krupina,911
669,Hontianske Trsťany,Levice,317
670,Horňa,Sobrance,337
671,Horná Breznica,Púchov,504
672,Horná Kráľová,Šaľa,1891
673,Horná Krupá,Trnava,513
674,Horná Lehota,Dolný Kubín,550
675,Horná Lehota,Brezno,602
676,Horná Mariková,Považská Bystrica,575
677,Horná Mičiná,Banská Bystrica,628
678,Horná Poruba,Ilava,1074
679,Horná Potôň,Dunajská Streda,2112
680,Horná Seč,Levice,559
681,Horná Streda,Nové Mesto nad Váhom,1373
682,Horná Strehová,Veľký Krtíš,166
683,Horná Súča,Trenčín,3360
684,Horná Štubňa,Turčianske Teplice,1609
685,Horná Ves,Žiar nad Hronom,693
686,Horná Ves,Prievidza,1440
687,Horná Ždaňa,Žiar nad Hronom,537
688,Horňany,Trenčín,436
689,Horné Dubové,Trnava,385
690,Horné Hámre,Žarnovica,660
691,Horné Chlebany,Topoľčany,372
692,Horné Lefantovce,Nitra,894
693,Horné Mladonice,Krupina,188
694,Horné Mýto,Dunajská Streda,923
695,Horné Naštice,Bánovce nad Bebravou,491
696,Horné Obdokovce,Topoľčany,1490
697,Horné Orešany,Trnava,1939
698,Horné Otrokovce,Hlohovec,855
699,Horné Plachtince,Veľký Krtíš,205
700,Horné Pršany,Banská Bystrica,398
701,Horné Rykynčice,Krupina,268
702,Horné Saliby,Galanta,3282
703,Horné Semerovce,Levice,633
704,Horné Srnie,Trenčín,2749
705,Horné Strháre,Veľký Krtíš,257
706,Horné Štitáre,Topoľčany,571
