"Obec, mesto, mestská časť",region,province,latitude,longitude
Dlhá nad Váhom,Šaľa,Nitriansky kraj,48.15127,17.88062
Dlhá Ves,Rožňava,Košický kraj,48.66008,20.53758
Dlhé Klčovo,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Dlhé nad Cirochou,Snina,Prešovský kraj,48.98857,22.15099
Dlhé Pole,Žilina,Žilinský kraj,49.3073,18.63166
Dlhé Stráže,Levoča,Prešovský kraj,49.02173,20.59212
Dlhoňa,Svidník,Prešovský kraj,49.30819,21.5703
Dlžín,Prievidza,Trenčiansky kraj,48.76667,18.63333
Dobrá,Trebišov,Košický kraj,48.62858,21.71954
Dobrá Niva,Zvolen,Banskobystrický kraj,48.57442,19.15324
Dobrá Voda,Trnava,Trnavský kraj,48.59724,17.53847
Dobroč,Lučenec,Banskobystrický kraj,48.33249,19.66708
Dobrohošť,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Dobroslava,Svidník,Prešovský kraj,49.30819,21.5703
Dobšiná,Rožňava,Košický kraj,48.66008,20.53758
Dohňany,Púchov,Trenčiansky kraj,48.83333,18.25
Dojč,Senica,Trnavský kraj,48.67922,17.36697
Dolinka,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Dolná Breznica,Púchov,Trenčiansky kraj,48.83333,18.25
Dolná Krupá,Trnava,Trnavský kraj,48.48266,17.55112
Dolná Lehota,Brezno,Banskobystrický kraj,48.80431,19.63631
Dolná Mariková,Považská Bystrica,Trenčiansky kraj,49.12153,18.42169
Dolná Mičiná,Banská Bystrica,Banskobystrický kraj,48.67542,19.22235
Dolná Poruba,Trenčín,Trenčiansky kraj,48.89452,18.04436
Dolná Seč,Levice,Nitriansky kraj,48.21563,18.60705
Dolná Streda,Galanta,Trnavský kraj,48.2,17.71667
Dolná Strehová,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Dolná Súča,Trenčín,Trenčiansky kraj,48.89452,18.04436
Dolná Tižina,Žilina,Žilinský kraj,49.21558,18.91566
Dolná Trnávka,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Dolná Ves,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Dolná Ždaňa,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Dolné Dubové,Trnava,Trnavský kraj,48.49173,17.61018
Dolné Kočkovce,Púchov,Trenčiansky kraj,48.83333,18.25
Dolné Lefantovce,Nitra,Nitriansky kraj,48.42492,18.12494
Dolné Lovčice,Trnava,Trnavský kraj,48.3665,17.67635
Dolné Mladonice,Krupina,Banskobystrický kraj,48.3554,19.06474
Dolné Naštice,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Dolné Obdokovce,Nitra,Nitriansky kraj,48.31325,18.21048
Dolné Orešany,Trnava,Trnavský kraj,48.43966,17.42942
