,povodne_name,population
1037,Koňuš,342
1038,Kopčany,NaN
1039,Kopernica,NaN
1040,Koplotovce,769
1041,Koprivnica,NaN
1042,Kordíky,474
1043,Korejovce,80
1044,Korňa,1981
1045,Koromľa,424
1046,Korunková,80
1047,Korytárky,963
1048,Korytné,85
1049,Kosihovce,574
1050,Kosihy nad Ipľom,390
1051,Kosorín,468
1052,Kostolec,NaN
1053,Kostolište,1649
1054,Kostolná pri Dunaji,735
1055,Kostolná Ves,474
1056,Kostolná-Záriečie,691
1057,Kostolné,577
1058,Kostolné Kračany,1393
1059,Kostoľany nad Hornádom,1245
1060,Kostoľany pod Tribečom,335
1061,Koš,NaN
1062,Košariská,431
1063,Košarovce,623
1064,Košeca,2737
1065,Košecké Podhradie,1059
1066,Košice I,67484
1067,Košice II,82278
1068,Košice III,28687
1069,Košice IV,60144
1070,Košická Belá,978
1071,Košická Polianka,1037
1072,Košické Oľšany,1334
1073,Košický Klečenov,290
1074,Koškovce,580
1075,Košolná,815
1076,Košúty,NaN
1077,Košťany nad Turcom,1340
1078,Kotešová,2069
1079,Kotmanová,297
1080,Kotrčiná Lúčka,545
1081,Kováčová,NaN
1083,Kováčovce,327
1084,Koválov,697
1085,Koválovec,156
1086,Kovarce,1592
1087,Kozárovce,2070
1088,Kozelník,164
1089,Kozí Vrbovok,157
1090,Kožany,101
1091,Kožuchov,198
1092,Kožuchovce,57
1093,Kračúnovce,1248
1094,Krahule,276
1095,Krajná Bystrá,466
1096,Krajná Poľana,216
1097,Krajná Porúbka,40
1098,Krajné,1449
1099,Krajné Čierno,74
1100,Krakovany,NaN
1101,Králiky,686
1102,Kráľ,NaN
1103,Kráľov Brod,1765
1104,Kráľova Lehota,604
1105,Kráľová nad Váhom,1803
1106,Kráľová pri Senci,2114
1107,Kraľovany,431
1108,Kráľovce,1181
1109,Kráľovce-Krnišov,149
1110,Kráľovičove Kračany,1091
1111,Kráľovský Chlmec,7426
1112,Kraskovo,NaN
1113,Krásna Lúka,672
1114,Krásna Ves,507
1115,Krásno,NaN
1116,Krásno nad Kysucou,6799
1117,Krásnohorská Dlhá Lúka,725
1118,Krásnohorské Podhradie,2746
1119,Krásnovce,632
1120,Krásny Brod,491
1121,Krasňany,NaN
1122,Kravany,NaN
1124,Kravany nad Dunajom,710
1125,Krčava,402
1126,Kremná,98
1127,Kremnica,5258
1128,Kremnické Bane,261
1129,Kristy,317
1130,Krišľovce,29
1131,Krišovská Liesková,935
1132,Krivá,800
1133,Krivany,1242
1134,Kriváň,NaN
1135,Krivé,NaN
1136,Krivoklát,244
1137,Krivosúd-Bodovka,358
1138,Kríže,NaN
1139,Krížová Ves,2280
1140,Krížovany,370
1141,Križovany nad Dudváhom,1806
1142,Krná,52
1143,Krnča,1335
1144,Krokava,26
1145,Krompachy,8684
1146,Krpeľany,1067
1147,Krškany,NaN
1148,Krtovce,305
1149,Kručov,209
1150,Krupina,7912
1151,Krušetnica,961
1152,Krušinec,242
1153,Krušovce,1675
1154,Kružlov,1008
1155,Kružlová,700
1156,Kružná,479
1157,Kružno,367
1158,Kšinná,493
1159,Kubáňovo,259
1160,Kučín,NaN
1162,Kuchyňa,NaN
1163,Kuklov,795
1164,Kuková,741
1165,Kukučínov,579
1166,Kunerad,1029
1167,Kunešov,208
1168,Kunova Teplica,717
1169,Kuraľany,492
1170,Kurima,NaN
1171,Kurimany,368
1172,Kurimka,383
1173,Kurov,673
1174,Kusín,341
1175,Kútniky,1430
1176,Kúty,NaN
1177,Kuzmice,NaN
1179,Kvačany,NaN
1181,Kvakovce,426
1182,Kvašov,NaN
1183,Kvetoslavov,1631
1184,Kyjatice,76
1185,Kyjov,NaN
1186,Kynceľová,374
1187,Kysak,NaN
1188,Kyselica,NaN
1189,Kysta,386
1190,Kysucké Nové Mesto,14953
1191,Kysucký Lieskovec,2352
1192,Láb,1996
1193,Lackov,102
1194,Lacková,NaN
1195,Lackovce,799
1196,Lada,NaN
1197,Ladce,2587
1198,Ladice,738
1199,Ladmovce,319
1200,Ladomerská Vieska,805
1201,Ladomirov,255
1202,Ladomirová,1056
1203,Ladzany,263
1204,Lakšárska Nová Ves,1143
1205,Lascov,572
1206,Laskár,NaN
1207,Lastomír,1210
1208,Lastovce,1206
1209,Laškovce,698
1210,Látky,595
1211,Lazany,NaN
1212,Lazisko,383
1213,Lazy pod Makytou,1208
1214,Lažany,NaN
1215,Lednica,NaN
1216,Lednické Rovne,4011
1217,Legnava,98
1218,Lehnice,2851
1219,Lehota,NaN
1220,Lehota nad Rimavicou,282
1221,Lehota pod Vtáčnikom,3870
1222,Lehôtka,361
1223,Lehôtka pod Brehmi,410
1224,Lechnica,251
1225,Lekárovce,885
1226,Leles,1795
1227,Leľa,300
1228,Lemešany,1952
1229,Lenartov,1162
1230,Lenartovce,552
1231,Lendak,5352
1232,Lenka,NaN
1233,Lentvora,92
1234,Leopoldov,4097
